date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
11.08.2020,Unknown,11.08,Unknown,Unknown,Credit,Unknown,LCL,Aoat A0 RELEVE DE COMPTE,11.08
20.08.2020,Unknown,20.08,Unknown,Unknown,Credit,Unknown,LCL,DUPLICATA,31.16
Unknown,Unknown,294,Unknown,Unknown,Credit,Unknown,LCL,N,325.16
Unknown,Unknown,58,Unknown,Unknown,Credit,Unknown,LCL,D'IDENTITE,383.16
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,LCL,BICETRE,395.16
Unknown,Unknown,50,Unknown,Unknown,Credit,Unknown,LCL,MONS,445.16
Unknown,Unknown,10.08,Unknown,Unknown,Credit,Unknown,LCL,MONSIEUR AMOKRANE,455.24
Unknown,Unknown,"19 185,57",Unknown,Unknown,Credit,Unknown,LCL,BICETRE,1919012.24
Unknown,Unknown,04.08,Unknown,Unknown,Credit,Unknown,LCL,Cle 30002,1919016.32
Unknown,Unknown,05 08,Unknown,Unknown,Credit,Unknown,LCL,T 50 References bancaires internationales,1919524.32
Unknown,Unknown,"20 351,50",Unknown,Unknown,Credit,Unknown,LCL,OOOO,3954674.32
Unknown,Unknown,"19 537,07",Unknown,Unknown,Credit,Unknown,LCL,7121 T5O,5908381.32
Unknown,Unknown,20.08,Unknown,Unknown,Credit,Unknown,LCL,SOLDE,5908401.4
Unknown,Unknown,"19 537,07",Unknown,Unknown,Credit,Unknown,LCL,OOOO1CH,7862108.4
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,LCL,OOOOOOO,7862109.4
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,LCL,TOTAUX,7862109.4
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,LCL,SOLDE,7862109.4
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,LCL,Resolution,7862109.4
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,LCL,Dispositions genérales de banque disponibles,7862109.4
Unknown,Unknown,Unknown,Unknown,Unknown,Credit,Unknown,LCL,LCLfr,7862109.4
01.01.2020,Unknown,01.01,Unknown,Unknown,Credit,Unknown,COVMISSION,LCL RELEVE DE COMPTE,1.01
10.01.2020,Unknown,10.01,Unknown,Unknown,Credit,Unknown,COVMISSION,Jaavf,11.02
Unknown,Unknown,277,Unknown,Unknown,Credit,Unknown,COVMISSION,G40100p00141,288.02
Unknown,Unknown,158,Unknown,Unknown,Credit,Unknown,COVMISSION,MONSIEUR AMOKRANE,446.02
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,COVMISSION,MONSIEUR AMOKRANE,458.02
Unknown,Unknown,50,Unknown,Unknown,Credit,Unknown,COVMISSION,BICETRE,508.02
Unknown,Unknown,31.12,Unknown,Unknown,Credit,Unknown,COVMISSION,References,539.14
Unknown,Unknown,"19 365,76",Unknown,Unknown,Credit,Unknown,COVMISSION,Cle,1937115.14
Unknown,Unknown,31.12,Unknown,Unknown,Credit,Unknown,COVMISSION,T 50 References bancaires internationales,1937146.26
Unknown,Unknown,03.01,Unknown,Unknown,Credit,Unknown,COVMISSION,FR85,1937149.27
Unknown,Unknown,20,Unknown,Unknown,Credit,Unknown,COVMISSION,T5o BIC,1937169.27
Unknown,Unknown,"6,00",Unknown,Unknown,Credit,Unknown,COVMISSION,CREDIT 31.12,1937769.27
Unknown,Unknown,"19 359,76",Unknown,Unknown,Credit,Unknown,COVMISSION,ExtrAIT,3873745.27
Unknown,Unknown,02.01,Unknown,Unknown,Credit,Unknown,COVMISSION,DECADAIRE,3873747.28
Unknown,Unknown,02.01,Unknown,Unknown,Credit,Unknown,COVMISSION,SOLDE INTERMEDIAIRE A FIN,3873749.29
Unknown,Unknown,02.01,Unknown,Unknown,Credit,Unknown,COVMISSION,ABONNEMENT,3873751.2999999993
Unknown,Unknown,08.01,Unknown,Unknown,Credit,Unknown,COVMISSION,MULTIPREVOYANCE PRo230000105568,3873759.309999999
Unknown,Unknown,08.01,Unknown,Unknown,Credit,Unknown,COVMISSION,OOOOOADE2001010000105568 ID CrEANCIER FR39ZZZ000957,3873767.319999999
Unknown,Unknown,02.01,Unknown,Unknown,Credit,Unknown,COVMISSION,ADESOOOO10556800933750,3873769.329999999
Unknown,Unknown,20 02,Unknown,Unknown,Credit,Unknown,COVMISSION,IDF,3875771.329999999
Unknown,Unknown,01.20,Unknown,Unknown,Credit,Unknown,COVMISSION,ID CREANCIER,3875772.529999999
Unknown,Unknown,"39,50",Unknown,Unknown,Credit,Unknown,COVMISSION,Tip1030o6710700813142000037477679,3879722.529999999
Unknown,Unknown,"6,24",Unknown,Unknown,Credit,Unknown,COVMISSION,CHQ,3880346.529999999
Unknown,Unknown,"20 184,50",Unknown,Unknown,Credit,Unknown,COVMISSION,VERSEMENT,5898796.529999999
Unknown,Unknown,08.01,Unknown,Unknown,Credit,Unknown,COVMISSION,TOTAUX,5898804.539999999
Unknown,Unknown,20 08,Unknown,Unknown,Credit,Unknown,COVMISSION,SOLDE,5900812.539999999
Unknown,Unknown,01 20,Unknown,Unknown,Credit,Unknown,COVMISSION,Resolution,5900932.539999999
Unknown,Unknown,"698,70",Unknown,Unknown,Credit,Unknown,COVMISSION,dillusee,5970802.539999999
Unknown,Unknown,"760,00",Unknown,Unknown,Credit,Unknown,COVMISSION,LCLIr,6046802.539999999
Unknown,Unknown,"934,94",Unknown,Unknown,Credit,Unknown,COVMISSION,Page 71 Crédit Lyonnais SA,6140296.539999999
Unknown,Unknown,"20 125,76",Unknown,Unknown,Credit,Unknown,COVMISSION,RCS Lyon 18,8152872.539999999
Unknown,Unknown,8,Unknown,Unknown,Credit,Unknown,COVMISSION,rue de la République,8152880.539999999
Unknown,Unknown,8 10,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,8153690.539999999
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,8153691.539999999
Unknown,Unknown,"19 190,82",Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,10072773.54
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,10072774.54
Unknown,Unknown,71,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,10072845.54
Unknown,Unknown,2 037 713 591,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,2047786436.54
Unknown,Unknown,954 509 741,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296177.54
Unknown,Unknown,18,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296195.54
Unknown,Unknown,07 00,Unknown,Unknown,Credit,Unknown,COVMISSION,Unknown,3002296895.54
31/03/2019,Unknown,91,Unknown,Unknown,Credit,Unknown,DEPARGNE,Semce gatut puapod,91.0
Unknown,Unknown,71,Unknown,Unknown,Credit,Unknown,DEPARGNE,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,162.0
Unknown,Unknown,7,Unknown,Unknown,Credit,Unknown,DEPARGNE,Kuardi,169.0
Unknown,Unknown,147,Unknown,Unknown,Credit,Unknown,DEPARGNE,Keraed,316.0
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,DEPARGNE,Jeudi,317.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,DEPARGNE,Vendred,329.0
