date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
11.08.2020,,11.08,,,Credit,,LCL,Aoat A0 RELEVE DE COMPTE,11.08
20.08.2020,,20.08,,,Credit,,LCL,DUPLICATA,31.159999999999997
,,294,,,Credit,,LCL,N,325.15999999999997
,,58,,,Credit,,LCL,D'IDENTITE,383.15999999999997
,,12,,,Credit,,LCL,BICETRE,395.15999999999997
,,50,,,Credit,,LCL,MONS,445.15999999999997
,,10.08,,,Credit,,LCL,MONSIEUR AMOKRANE,455.23999999999995
,,"19 185,57",,,Credit,,LCL,BICETRE,1919012.24
,,04.08,,,Credit,,LCL,Cle 30002,1919016.32
,,05 08,,,Credit,,LCL,T 50 References bancaires internationales,1919524.32
,,"20 351,50",,,Credit,,LCL,OOOO,3954674.3200000003
,,"19 537,07",,,Credit,,LCL,7121 T5O,5908381.32
,,20.08,,,Credit,,LCL,SOLDE,5908401.4
,,"19 537,07",,,Credit,,LCL,OOOO1CH,7862108.4
,,1,,,Credit,,LCL,OOOOOOO,7862109.4
,,,,,Credit,,LCL,TOTAUX,7862109.4
,,,,,Credit,,LCL,SOLDE,7862109.4
,,,,,Credit,,LCL,Resolution,7862109.4
,,,,,Credit,,LCL,Dispositions genérales de banque disponibles,7862109.4
,,,,,Credit,,LCL,LCLfr,7862109.4
01.01.2020,,01.01,,,Credit,,COVMISSION,LCL RELEVE DE COMPTE,1.01
10.01.2020,,10.01,,,Credit,,COVMISSION,Jaavf,11.02
,,277,,,Credit,,COVMISSION,G40100p00141,288.02
,,158,,,Credit,,COVMISSION,MONSIEUR AMOKRANE,446.02
,,12,,,Credit,,COVMISSION,MONSIEUR AMOKRANE,458.02
,,50,,,Credit,,COVMISSION,BICETRE,508.02
,,31.12,,,Credit,,COVMISSION,References,539.14
,,"19 365,76",,,Credit,,COVMISSION,Cle,1937115.14
,,31.12,,,Credit,,COVMISSION,T 50 References bancaires internationales,1937146.26
,,03.01,,,Credit,,COVMISSION,FR85,1937149.27
,,20,,,Credit,,COVMISSION,T5o BIC,1937169.27
,,"6,00",,,Credit,,COVMISSION,CREDIT 31.12,1937769.27
,,"19 359,76",,,Credit,,COVMISSION,ExtrAIT,3873745.27
,,02.01,,,Credit,,COVMISSION,DECADAIRE,3873747.28
,,02.01,,,Credit,,COVMISSION,SOLDE INTERMEDIAIRE A FIN,3873749.2899999996
,,02.01,,,Credit,,COVMISSION,ABONNEMENT,3873751.2999999993
,,08.01,,,Credit,,COVMISSION,MULTIPREVOYANCE PRo230000105568,3873759.309999999
,,08.01,,,Credit,,COVMISSION,OOOOOADE2001010000105568 ID CrEANCIER FR39ZZZ000957,3873767.319999999
,,02.01,,,Credit,,COVMISSION,ADESOOOO10556800933750,3873769.3299999987
,,20 02,,,Credit,,COVMISSION,IDF,3875771.3299999987
,,01.20,,,Credit,,COVMISSION,ID CREANCIER,3875772.529999999
,,"39,50",,,Credit,,COVMISSION,Tip1030o6710700813142000037477679,3879722.529999999
,,"6,24",,,Credit,,COVMISSION,CHQ,3880346.529999999
,,"20 184,50",,,Credit,,COVMISSION,VERSEMENT,5898796.529999999
,,08.01,,,Credit,,COVMISSION,TOTAUX,5898804.539999999
,,20 08,,,Credit,,COVMISSION,SOLDE,5900812.539999999
,,01 20,,,Credit,,COVMISSION,Resolution,5900932.539999999
,,"698,70",,,Credit,,COVMISSION,dillusee,5970802.539999999
,,"760,00",,,Credit,,COVMISSION,LCLIr,6046802.539999999
,,"934,94",,,Credit,,COVMISSION,Page 71 Crédit Lyonnais SA,6140296.539999999
,,"20 125,76",,,Credit,,COVMISSION,RCS Lyon 18,8152872.539999999
,,8,,,Credit,,COVMISSION,rue de la République,8152880.539999999
,,8 10,,,Credit,,COVMISSION,,8153690.539999999
,,01,,,Credit,,COVMISSION,,8153691.539999999
,,"19 190,82",,,Credit,,COVMISSION,,10072773.54
,,1,,,Credit,,COVMISSION,,10072774.54
,,71,,,Credit,,COVMISSION,,10072845.54
,,2 037 713 591,,,Credit,,COVMISSION,,2047786436.54
,,954 509 741,,,Credit,,COVMISSION,,3002296177.54
,,18,,,Credit,,COVMISSION,,3002296195.54
,,07 00,,,Credit,,COVMISSION,,3002296895.54
31/03/2019,,91,,,Credit,,DEPARGNE,Semce gatut puapod,91.0
,,71,,,Credit,,DEPARGNE,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,162.0
,,7,,,Credit,,DEPARGNE,Kuardi,169.0
,,147,,,Credit,,DEPARGNE,Keraed,316.0
,,01,,,Credit,,DEPARGNE,Jeudi,317.0
,,12,,,Credit,,DEPARGNE,Vendred,329.0
,,31,,,Credit,,DEPARGNE,Samed,360.0
,,03,,,Credit,,DEPARGNE,N 10,363.0
,,10,,,Credit,,DEPARGNE,Votre Conseiller AMANDINE AvRIL,373.0
,,1,,,Credit,,DEPARGNE,Kettanenacira,374.0
,,15 36,,,Credit,,DEPARGNE,WoumeKettane,1910.0
,,2,,,Credit,,DEPARGNE,DEPOT JOINT,1912.0
,,28,,,Credit,,DEPARGNE,IZICARTE,1940.0
,,02,,,Credit,,DEPARGNE,Soleau310419,1942.0
,,19,,,Credit,,DEPARGNE,Montant,1961.0
,,54,,,Credit,,DEPARGNE,KETTANE,2015.0
,,00,,,Credit,,DEPARGNE,DEPOT JOINT N 17515,2015.0
,,28,,,Credit,,DEPARGNE,Dale Detandes,2043.0
,,02,,,Credit,,DEPARGNE,Solde Precedent AU 28/02/19,2045.0
,,19,,,Credit,,DEPARGNE,VnEUR AU,2064.0
,,01,,,Credit,,DEPARGNE,MotoPaix,2065.0
,,03,,,Credit,,DEPARGNE,SePAINteRepaRGIE,2068.0
,,28,,,Credit,,DEPARGNE,SALARIAL,2096.0
,,314,,,Credit,,DEPARGNE,GRoUPEM OnopR,2410.0
,,006,,,Credit,,DEPARGNE,Ret,2416.0
,,09,,,Credit,,DEPARGNE,Me,2425.0
,,"2 787,73",,,Credit,,DEPARGNE,Ret,281198.0
,,"550,00",,,Credit,,DEPARGNE,ViR SepaDofip VaL De arne ReMBoURSEMENT(ORC,336198.0
,,"548,98",,,Credit,,DEPARGNE,KETT,391096.0
,,"803,70",,,Credit,,DEPARGNE,~Rel doneur dordre,471466.0
,,"82,75",,,Credit,,DEPARGNE,GFC19 0940006W-006-0086,479741.0
,,"703,50",,,Credit,,DEPARGNE,Cux,550091.0
,,"43,45",,,Credit,,DEPARGNE,Nuv€ Iqtc CS,554436.0
,,"20,98",,,Credit,,DEPARGNE,CeDe,556534.0
,,1,,,Credit,,DEPARGNE,8S ctumnucuCode,556535.0
,,900 942,,,Credit,,DEPARGNE,Honcureet,1457477.0
,,0,,,Credit,,DEPARGNE,Soocte,1457477.0
,,200,,,Credit,,DEPARGNE,Drectoreet,1457677.0
,,3,,,Credit,,DEPARGNE,Conei cOicnuuoncice Sunvralnce Cpiu,1457680.0
,,8,,,Credit,,DEPARGNE,ACSPn Sicx',1457688.0
,,,,,Credit,,DEPARGNE,Pneculoue Is001 A Incrmcaur,1457688.0
30/11/2019,,71,,,Credit,,IleDE FRANCE Direct,Feer CAISSE,71.0
,,7,,,Credit,,IleDE FRANCE Direct,Semce gatut puapod,78.0
,,147,,,Credit,,IleDE FRANCE Direct,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,225.0
,,01,,,Credit,,IleDE FRANCE Direct,Kuardi,226.0
,,12,,,Credit,,IleDE FRANCE Direct,Keraed,238.0
,,30,,,Credit,,IleDE FRANCE Direct,Jeudi,268.0
,,11,,,Credit,,IleDE FRANCE Direct,Vendred,279.0
,,18,,,Credit,,IleDE FRANCE Direct,Samed,297.0
,,1,,,Credit,,IleDE FRANCE Direct,N 18 Page 1/ 100 2010110,298.0
,,100,,,Credit,,IleDE FRANCE Direct,Votre Conseiller AMANDINE AvRIL,398.0
,,15 36,,,Credit,,IleDE FRANCE Direct,Eml amandineavnlocedfcisseeoagnetr 10 BIS DE LA REVOL DES OEILLETS 94380 BONNEUIL SUR MARNE Identifiants,1934.0
,,10,,,Credit,,IleDE FRANCE Direct,Kettanenacira,1944.0
,,30,,,Credit,,IleDE FRANCE Direct,WoumeKettane,1974.0
,,11,,,Credit,,IleDE FRANCE Direct,DEPOT JOINT,1985.0
,,19,,,Credit,,IleDE FRANCE Direct,IZICARTE,2004.0
,,11,,,Credit,,IleDE FRANCE Direct,Sokeau 30/11/19,2015.0
,,19,,,Credit,,IleDE FRANCE Direct,KETTANE,2034.0
,,"42 000,00",,,Credit,,IleDE FRANCE Direct,DEPOT JOINT N 17515,4202034.0
,,31,,,Credit,,IleDE FRANCE Direct,Dale Detandes,4202065.0
,,10,,,Credit,,IleDE FRANCE Direct,Solde Precedent AU 31/10/19 Operations,4202075.0
,,19,,,Credit,,IleDE FRANCE Direct,depa,4202094.0
,,08,,,Credit,,IleDE FRANCE Direct,GAB,4202102.0
,,11,,,Credit,,IleDE FRANCE Direct,DEPOT ESPECE,4202113.0
,,26,,,Credit,,IleDE FRANCE Direct,AWoneu,4202139.0
,,11,,,Credit,,IleDE FRANCE Direct,"1930,00146491930,0014649 ~Rel doneur",4202150.0
,,27,,,Credit,,IleDE FRANCE Direct,MotOPRIX,4202177.0
,,11,,,Credit,,IleDE FRANCE Direct,Rel,4202188.0
,,02,,,Credit,,IleDE FRANCE Direct,Tauty,4202190.0
,,11,,,Credit,,IleDE FRANCE Direct,Bolt Blance,4202201.0
,,0,,,Credit,,IleDE FRANCE Direct,Ret,4202201.0
,,11,,,Credit,,IleDE FRANCE Direct,GRAS SAVOYE,4202212.0
,,09,,,Credit,,IleDE FRANCE Direct,Ret,4202221.0
,,11,,,Credit,,IleDE FRANCE Direct,Ret,4202232.0
,,09,,,Credit,,IleDE FRANCE Direct,Ret,4202241.0
,,11,,,Credit,,IleDE FRANCE Direct,Dol Gedn,4202252.0
,,3,,,Credit,,IleDE FRANCE Direct,Cux,4202255.0
,,05,,,Credit,,IleDE FRANCE Direct,Inne J6n8r,4202260.0
,,11,,,Credit,,IleDE FRANCE Direct,Nkur,4202271.0
,,05,,,Credit,,IleDE FRANCE Direct,Enque Cocoeru,4202276.0
,,11,,,Credit,,IleDE FRANCE Direct,8S ctumnucuCode,4202287.0
,,06,,,Credit,,IleDE FRANCE Direct,Honcureet,4202293.0
,,11,,,Credit,,IleDE FRANCE Direct,Soocte,4202304.0
,,07,,,Credit,,IleDE FRANCE Direct,Drectoreet,4202311.0
,,11,,,Credit,,IleDE FRANCE Direct,Conei cOicnuuoncice Sunvralnce Cpiu,4202322.0
,,111,,,Credit,,IleDE FRANCE Direct,ACSPn Sicx',4202433.0
,,0,,,Credit,,IleDE FRANCE Direct,Pneculoue Is001 A Incrmcaur,4202433.0
,,11,,,Credit,,IleDE FRANCE Direct,,4202444.0
,,11,,,Credit,,IleDE FRANCE Direct,,4202455.0
,,6,,,Credit,,IleDE FRANCE Direct,,4202461.0
,,18,,,Credit,,IleDE FRANCE Direct,,4202479.0
,,11,,,Credit,,IleDE FRANCE Direct,,4202490.0
,,74,,,Credit,,IleDE FRANCE Direct,,4202564.0
,,"450,00",,,Credit,,IleDE FRANCE Direct,,4247564.0
,,"450,00",,,Credit,,IleDE FRANCE Direct,,4292564.0
,,499,,,Credit,,IleDE FRANCE Direct,,4293063.0
,,8,,,Credit,,IleDE FRANCE Direct,,4293071.0
,,0,,,Credit,,IleDE FRANCE Direct,,4293071.0
,,798 54,,,Credit,,IleDE FRANCE Direct,,4372925.0
,,"39,89",,,Credit,,IleDE FRANCE Direct,,4376914.0
,,"7,50",,,Credit,,IleDE FRANCE Direct,,4377664.0
,,"19,24",,,Credit,,IleDE FRANCE Direct,,4379588.0
,,"210,00",,,Credit,,IleDE FRANCE Direct,,4400588.0
,,128 75,,,Credit,,IleDE FRANCE Direct,,4413463.0
,,"86,80",,,Credit,,IleDE FRANCE Direct,,4422143.0
,,756,,,Credit,,IleDE FRANCE Direct,,4422899.0
,,1,,,Credit,,IleDE FRANCE Direct,,4422900.0
,,900 942,,,Credit,,IleDE FRANCE Direct,,5323842.0
,,0,,,Credit,,IleDE FRANCE Direct,,5323842.0
,,200,,,Credit,,IleDE FRANCE Direct,,5324042.0
,,6,,,Credit,,IleDE FRANCE Direct,,5324048.0
31/12/2019,,71,,,Credit,,IleDE FRANCE Direct,Semce gatut puapod,71.0
,,7,,,Credit,,IleDE FRANCE Direct,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,78.0
,,147,,,Credit,,IleDE FRANCE Direct,Kuardi,225.0
,,01,,,Credit,,IleDE FRANCE Direct,Keraed,226.0
,,12,,,Credit,,IleDE FRANCE Direct,Jeudi,238.0
,,31,,,Credit,,IleDE FRANCE Direct,Vendred,269.0
,,12,,,Credit,,IleDE FRANCE Direct,Samed,281.0
,,19,,,Credit,,IleDE FRANCE Direct,Votre Conseiller AMANDINE AvRIL,300.0
,,1,,,Credit,,IleDE FRANCE Direct,Eml amandineavnlocedfcisseeoagnetr 10 BIS DE LA REVOL DES OEILLETS 94380 BONNEUIL SUR MARNE Identifiants,301.0
,,15 36,,,Credit,,IleDE FRANCE Direct,Kettanenacira,1837.0
,,10,,,Credit,,IleDE FRANCE Direct,WoumeKettane,1847.0
,,31,,,Credit,,IleDE FRANCE Direct,DEPOT JOINT,1878.0
,,12,,,Credit,,IleDE FRANCE Direct,IZICARTE,1890.0
,,19,,,Credit,,IleDE FRANCE Direct,Sokeau 31/12/19,1909.0
,,30,,,Credit,,IleDE FRANCE Direct,M,1939.0
,,11,,,Credit,,IleDE FRANCE Direct,KETTANE,1950.0
,,19,,,Credit,,IleDE FRANCE Direct,DEPOT JOINT N 17515,1969.0
,,"504,80",,,Credit,,IleDE FRANCE Direct,Dale Detandes,52449.0
,,"000,00",,,Credit,,IleDE FRANCE Direct,Solde Precedent AU 30/11/19,52449.0
,,30,,,Credit,,IleDE FRANCE Direct,ChEqUES,52479.0
,,11,,,Credit,,IleDE FRANCE Direct,DEPOT ESPECE,52490.0
,,19,,,Credit,,IleDE FRANCE Direct,DEPOT ESPECE,52509.0
,,09,,,Credit,,IleDE FRANCE Direct,MotoPaix,52518.0
,,12,,,Credit,,IleDE FRANCE Direct,Payout H 35099825 ~Rel,52530.0
,,12 05,,,Credit,,IleDE FRANCE Direct,GO,53735.0
,,12,,,Credit,,IleDE FRANCE Direct,MotoPaix,53747.0
,,06,,,Credit,,IleDE FRANCE Direct,MonopRIX SA,53753.0
,,12 05,,,Credit,,IleDE FRANCE Direct,CbelecleRc,54958.0
,,12,,,Credit,,IleDE FRANCE Direct,CpaM,54970.0
,,14,,,Credit,,IleDE FRANCE Direct,Rel,54984.0
,,12,,,Credit,,IleDE FRANCE Direct,~Ret,54996.0
,,02,,,Credit,,IleDE FRANCE Direct,Bolt Blince Payout,54998.0
,,12,,,Credit,,IleDE FRANCE Direct,Rel,55010.0
,,02,,,Credit,,IleDE FRANCE Direct,CHEQUE Iroooooso,55012.0
,,12,,,Credit,,IleDE FRANCE Direct,Cux,55024.0
,,02,,,Credit,,IleDE FRANCE Direct,Nuv€ Iqtc CS,55026.0
,,12,,,Credit,,IleDE FRANCE Direct,CeDe,55038.0
,,03,,,Credit,,IleDE FRANCE Direct,8S ctumnucuCode,55041.0
,,12,,,Credit,,IleDE FRANCE Direct,Honcureet,55053.0
,,03,,,Credit,,IleDE FRANCE Direct,Soocte onmme'Drectoreet,55056.0
,,12,,,Credit,,IleDE FRANCE Direct,ACSPn Sicx',55068.0
,,06,,,Credit,,IleDE FRANCE Direct,Pneculoue Is001 A Incrmcaur,55074.0
,,12,,,Credit,,IleDE FRANCE Direct,,55086.0
,,11,,,Credit,,IleDE FRANCE Direct,,55097.0
,,12,,,Credit,,IleDE FRANCE Direct,,55109.0
,,16,,,Credit,,IleDE FRANCE Direct,,55125.0
,,12,,,Credit,,IleDE FRANCE Direct,,55137.0
,,6,,,Credit,,IleDE FRANCE Direct,,55143.0
,,23,,,Credit,,IleDE FRANCE Direct,,55166.0
,,12,,,Credit,,IleDE FRANCE Direct,,55178.0
,,30,,,Credit,,IleDE FRANCE Direct,,55208.0
,,12,,,Credit,,IleDE FRANCE Direct,,55220.0
,,05,,,Credit,,IleDE FRANCE Direct,,55225.0
,,12,,,Credit,,IleDE FRANCE Direct,,55237.0
,,12,,,Credit,,IleDE FRANCE Direct,,55249.0
,,12,,,Credit,,IleDE FRANCE Direct,,55261.0
,,"955,42",,,Credit,,IleDE FRANCE Direct,,150803.0
,,"150,00",,,Credit,,IleDE FRANCE Direct,,165803.0
,,"450,00",,,Credit,,IleDE FRANCE Direct,,210803.0
,,"693,58",,,Credit,,IleDE FRANCE Direct,,280161.0
,,"25,97",,,Credit,,IleDE FRANCE Direct,,282758.0
,,"30,05",,,Credit,,IleDE FRANCE Direct,,285763.0
,,"29,89",,,Credit,,IleDE FRANCE Direct,,288752.0
,,"518,00",,,Credit,,IleDE FRANCE Direct,,340552.0
,,"5,60",,,Credit,,IleDE FRANCE Direct,,341112.0
,,116,,,Credit,,IleDE FRANCE Direct,,341228.0
,,3,,,Credit,,IleDE FRANCE Direct,,341231.0
,,"29,28",,,Credit,,IleDE FRANCE Direct,,344159.0
,,"228,80",,,Credit,,IleDE FRANCE Direct,,367039.0
,,"397,00",,,Credit,,IleDE FRANCE Direct,,406739.0
,,1,,,Credit,,IleDE FRANCE Direct,,406740.0
,,900 942,,,Credit,,IleDE FRANCE Direct,,1307682.0
,,0,,,Credit,,IleDE FRANCE Direct,,1307682.0
,,200,,,Credit,,IleDE FRANCE Direct,,1307882.0
,,8,,,Credit,,IleDE FRANCE Direct,,1307890.0
11.12.2021,,11.12,,,Credit,,LCL,So RELEVE DE COMPTE,11.12
20.12.2021,,20.12,,,Credit,,LCL,D'IDENTITE,31.240000000000002
,,335,,,Credit,,LCL,BiCETRE 58 AVENUE DE FONTAINEBLEAU 94270,366.24
,,58,,,Credit,,LCL,BICETRE,424.24
,,12,,,Credit,,LCL,MONS,436.24
,,9,,,Credit,,LCL,SEINE 9 Titulaire,445.24
,,50,,,Credit,,LCL,MONSIEUR AMOKRANE,495.24
,,10 12,,,Credit,,LCL,BICETRE,1507.24
,,"72 305,67",,,Credit,,LCL,Cle,7232074.24
,,16 12,,,Credit,,LCL,References,7233686.24
,,16.12,,,Credit,,LCL,FR85,7233702.36
,,"21 880,00",,,Credit,,LCL,CREDIT 10 12,9421702.36
,,"880,00",,,Credit,,LCL,PRLV,9509702.36
,,"72 305,67",,,Credit,,LCL,DIRECTION GENERALE DES FINANCES PUBLIQUE S CREANCIER,16740269.36
,,20 12,,,Credit,,LCL,NNFR46ZZZ0050022194030858865R923374,16742281.36
,,"71 425,67",,,Credit,,LCL,TOTAUX,23884848.36
,,1,,,Credit,,LCL,SOLDE,23884849.36
